pair_id,cmi_score,cmi_legacy_recomputed,cmi_v2_exclude,cmi_v2_hindi,cmi_v2_english
P01973,0.5135135135135135,0.5135135135135135,25.71428571428571,25.71428571428571,25.71428571428571
P02314,0.1666666666666666,0.16666666666666666,34.375,34.375,34.375
P02108,0.5128205128205128,0.5128205128205128,27.27272727272727,27.27272727272727,27.27272727272727
P02011,0.4878048780487805,0.4878048780487805,22.22222222222222,22.22222222222222,22.22222222222222
P00102,0.3611111111111111,0.3611111111111111,31.034482758620683,31.034482758620683,31.034482758620683
P02065,0.4324324324324324,0.43243243243243246,30.303030303030297,30.303030303030297,30.303030303030297
P01366,0.3947368421052631,0.39473684210526316,28.57142857142857,28.57142857142857,28.57142857142857
P02048,0.4210526315789473,0.42105263157894735,24.13793103448276,23.33333333333333,26.66666666666667
P00709,0.2857142857142857,0.2857142857142857,48.38709677419355,48.38709677419355,48.38709677419355
P02340,0.4883720930232558,0.4883720930232558,24.32432432432432,24.32432432432432,24.32432432432432
P02175,0.4285714285714285,0.42857142857142855,14.70588235294118,14.70588235294118,14.70588235294118
P02300,0.4210526315789473,0.42105263157894735,24.242424242424242,24.242424242424242,24.242424242424242
P00982,0.2424242424242424,0.24242424242424243,46.15384615384615,46.15384615384615,46.15384615384615
P02098,0.2972972972972973,0.2972972972972973,35.71428571428571,35.71428571428571,35.71428571428571
P02046,0.475,0.475,27.77777777777778,27.77777777777778,27.77777777777778
P02875,0.4848484848484848,0.48484848484848486,39.39393939393939,39.39393939393939,39.39393939393939
P02241,0.4736842105263157,0.47368421052631576,29.032258064516125,29.032258064516125,29.032258064516125
P02106,0.5365853658536586,0.5365853658536586,6.666666666666665,6.666666666666665,6.666666666666665
P02519,0.4102564102564102,0.41025641025641024,30.303030303030297,30.303030303030297,30.303030303030297
P02274,0.5,0.5,12.903225806451612,12.903225806451612,12.903225806451612
P01759,0.4186046511627907,0.4186046511627907,30.000000000000004,30.000000000000004,30.000000000000004
P02473,0.4871794871794871,0.48717948717948717,19.354838709677423,19.354838709677423,19.354838709677423
P02729,0.4651162790697674,0.46511627906976744,16.216216216216218,15.789473684210531,18.42105263157895
P02454,0.4615384615384615,0.46153846153846156,3.4482758620689613,3.4482758620689613,3.4482758620689613
P02194,0.3611111111111111,0.3611111111111111,34.375,34.375,34.375
P00130,0.3947368421052631,0.39473684210526316,22.580645161290324,22.580645161290324,22.580645161290324
P01850,0.4358974358974359,0.4358974358974359,22.580645161290324,22.580645161290324,22.580645161290324
P00141,0.3714285714285714,0.37142857142857144,32.25806451612904,32.25806451612904,32.25806451612904
P01965,0.34375,0.34375,46.42857142857143,46.42857142857143,46.42857142857143
P01170,0.4411764705882353,0.4411764705882353,46.666666666666664,46.666666666666664,46.666666666666664
P00852,0.3947368421052631,0.39473684210526316,32.35294117647059,32.35294117647059,32.35294117647059
P02013,0.5,0.5,18.181818181818176,18.181818181818176,18.181818181818176
P02114,0.4,0.4,26.315789473684216,26.315789473684216,26.315789473684216
P02452,0.3157894736842105,0.3157894736842105,40.625,40.625,40.625
P00419,0.5,0.5,22.22222222222222,21.052631578947366,26.315789473684216
P02375,0.325,0.325,42.85714285714286,42.85714285714286,42.85714285714286
P02174,0.358974358974359,0.358974358974359,32.25806451612904,32.25806451612904,32.25806451612904
P01918,0.4102564102564102,0.41025641025641024,47.05882352941176,47.05882352941176,47.05882352941176
P02741,0.3823529411764705,0.38235294117647056,41.379310344827594,41.379310344827594,41.379310344827594
P01937,0.45,0.45,25.0,25.0,25.0
P02425,0.4210526315789473,0.42105263157894735,19.999999999999996,19.999999999999996,19.999999999999996
P02356,0.3902439024390244,0.3902439024390244,36.8421052631579,35.89743589743589,38.46153846153846
P02302,0.3684210526315789,0.3684210526315789,21.875,21.875,21.875
P02277,0.3170731707317073,0.3170731707317073,37.83783783783784,36.8421052631579,39.473684210526315
P00147,0.425,0.425,30.555555555555557,30.555555555555557,30.555555555555557
P01268,0.3947368421052631,0.39473684210526316,25.806451612903224,25.806451612903224,25.806451612903224
P00181,0.2647058823529412,0.2647058823529412,43.47826086956522,43.47826086956522,43.47826086956522
P02081,0.475,0.475,23.529411764705888,22.857142857142854,25.71428571428571
P03002,0.4054054054054054,0.40540540540540543,34.375,34.375,34.375
P02557,0.375,0.375,34.210526315789465,34.210526315789465,34.210526315789465
P02789,0.3055555555555556,0.3055555555555556,45.16129032258065,45.16129032258065,45.16129032258065
P01922,0.4864864864864865,0.4864864864864865,24.242424242424242,24.242424242424242,24.242424242424242
P02369,0.4102564102564102,0.41025641025641024,11.111111111111116,11.111111111111116,11.111111111111116
P02507,0.4324324324324324,0.43243243243243246,33.333333333333336,33.333333333333336,33.333333333333336
P02021,0.4,0.4,14.28571428571429,14.28571428571429,14.28571428571429
P02240,0.3823529411764705,0.38235294117647056,41.93548387096774,41.93548387096774,41.93548387096774
P00120,0.4166666666666667,0.4166666666666667,38.70967741935484,38.70967741935484,38.70967741935484
P01384,0.4146341463414634,0.4146341463414634,30.76923076923077,30.76923076923077,30.76923076923077
P02222,0.3333333333333333,0.3333333333333333,32.25806451612904,32.25806451612904,32.25806451612904
P02689,0.0,0.0,0.0,0.0,0.0
P02517,0.5116279069767442,0.5116279069767442,35.89743589743589,34.14634146341463,39.02439024390244
P02051,0.4210526315789473,0.42105263157894735,30.303030303030297,30.303030303030297,30.303030303030297
P02120,0.4102564102564102,0.41025641025641024,36.111111111111114,36.111111111111114,36.111111111111114
P02227,0.3947368421052631,0.39473684210526316,41.93548387096774,41.93548387096774,41.93548387096774
P00081,0.5,0.5,17.14285714285714,17.14285714285714,17.14285714285714
P02524,0.3720930232558139,0.37209302325581395,22.22222222222222,22.22222222222222,22.22222222222222
P02295,0.3658536585365853,0.36585365853658536,37.5,37.5,37.5
P02577,0.3333333333333333,0.3333333333333333,34.48275862068966,34.48275862068966,34.48275862068966
P02568,0.4736842105263157,0.47368421052631576,26.66666666666667,26.66666666666667,26.66666666666667
P02180,0.4736842105263157,0.47368421052631576,37.142857142857146,37.142857142857146,37.142857142857146
P02260,0.4390243902439024,0.43902439024390244,21.62162162162162,21.62162162162162,21.62162162162162
P02459,0.325,0.325,20.68965517241379,20.68965517241379,20.68965517241379
P01993,0.4473684210526316,0.4473684210526316,42.10526315789473,42.10526315789473,42.10526315789473
P02304,0.4479166666666667,0.4479166666666667,13.888888888888884,13.888888888888884,13.888888888888884
P02451,0.4655172413793103,0.46551724137931033,34.95145631067961,34.285714285714285,36.1904761904762
P01284,0.4636363636363636,0.4636363636363636,31.68316831683168,31.68316831683168,31.68316831683168
