variant,recall@1,recall@3,recall@5,recall@10,MRR@10,nDCG@10
Q1_hinglish,0.11442786069651742,0.2915422885572139,0.41359867330016586,0.6082918739635158,0.24317473479165022,0.40981496271693174
Q2_english_question,0.16019900497512438,0.35124378109452736,0.4799336650082919,0.6885572139303483,0.29848956276816974,0.48631016205527744
Q3_english_plus_caption,0.2142620232172471,0.42321724709784414,0.55787728026534,0.7522388059701492,0.3591975308641975,0.5557820229766383
random_floor(analytic),0.06260298507462686,0.17607488109010147,0.275544646009243,0.47392020695388837,,
