system,variant,success@1,success@3,success@5,success@10,MRR@10,nDCG@10,graded_nDCG@10
Hybrid-RRF,Q1_hinglish,0.17512437810945275,0.3396351575456053,0.4603648424543947,0.6563847429519072,0.2987051514912212,0.13640702333934693,0.10684147649134829
LaBSE-passages,Q1_hinglish,0.12802653399668326,0.3074626865671642,0.4298507462686567,0.6325041459369818,0.2584257285003554,0.12038633605104729,0.09474772201370128
BM25-full,Q1_hinglish,0.09353233830845771,0.2407960199004975,0.3844112769485904,0.6116086235489221,0.2173151438574324,0.10116223442598232,0.07149482071890279
TFIDF-full,Q1_hinglish,0.08424543946932006,0.2222222222222222,0.33565505804311774,0.5598673300165837,0.19724670299297167,0.10179632218049799,0.07445344960503084
Hybrid-RRF,Q2_english_question,0.19734660033167495,0.4053067993366501,0.5346600331674959,0.7393034825870647,0.34384255968833083,0.1691602494322508,0.14394671654329197
LaBSE-passages,Q2_english_question,0.14859038142620232,0.32603648424543946,0.4603648424543947,0.6782752902155887,0.2834996972807918,0.12568207785574703,0.09638168673157793
BM25-full,Q2_english_question,0.184742951907131,0.40364842454394695,0.5499170812603649,0.7373134328358208,0.33846995182816075,0.17448900567763026,0.15365739237208917
TFIDF-full,Q2_english_question,0.15290215588723052,0.3187396351575456,0.42918739635157543,0.615257048092869,0.27289307431098475,0.14745980662409805,0.12195285575199484
