label,reference,n,delta,lo,hi
"llama-3.1-8b
oracle evidence",evidence (circular),651,0.20294213808038694,0.18019852001130804,0.22519446972211948
"llama-3.1-8b
oracle evidence",caption (unbiased),613,0.06204070535228773,0.03957359071959398,0.08363574276910328
"gpt-oss-120b
oracle evidence",evidence (circular),207,0.09258457512933217,0.049087996481432146,0.1372140243325239
"gpt-oss-120b
oracle evidence",caption (unbiased),189,-0.020728066759812792,-0.06550539407682264,0.022495648090886156
"gpt-oss-120b
real retrieval",evidence (circular),210,-0.03202559578609998,-0.07000105809612112,0.005272342911523578
"gpt-oss-120b
real retrieval",caption (unbiased),200,-0.046897546897546896,-0.08380248917748918,-0.008594967532467551
