condition,source,arm,precision vs evidence,precision vs evidence n,precision vs evidence d,precision vs evidence p_bh,F1 vs evidence,F1 vs evidence n,F1 vs evidence d,F1 vs evidence p_bh,F1 vs unbiased,F1 vs unbiased n,F1 vs unbiased d,F1 vs unbiased p_bh
"llama-3.1-8b-instant, oracle evidence",llama_oracle_n1165,grounded,0.2961847818350061,669,0.7201748640171719,2.8301430303777835e-49,0.2029421380803869,651,0.6831509965551241,2.0859292000090617e-48,0.0620407053522877,613,0.2231996827500551,2.995957566880758e-07
"gpt-oss-120b, oracle evidence",gptoss120b,oracle,0.2607884586856549,214,0.6402494179212758,4.2528156456500746e-15,0.0925845751293321,207,0.2836947329029366,0.0004199948822436,-0.0207280667598127,189,-0.0665255974847602,0.4401358655178576
"gpt-oss-120b, real retrieval",gptoss120b,real,0.0704409969115851,221,0.1913733292244802,0.0074719488876614,-0.0320255957860999,210,-0.1177994703976084,0.0407642233693091,-0.0468975468975468,200,-0.17110258745839,0.0106010069944391
"gpt-oss-20b, oracle evidence",gptoss20b_n268,oracle,0.1966439909297052,140,0.4526904949602607,1.8103319405995656e-06,-0.0066708995813473,134,-0.0203782299474586,0.6803477980088594,-0.0216564137616769,133,-0.0567072259759563,0.5735906473898296
"gpt-oss-20b, real retrieval",gptoss20b_n268,real,0.1070680929376581,138,0.2548616117618984,0.0023481409954227,-0.0698196675119752,130,-0.2563267682844001,0.0065897105375926,-0.0573698523698523,130,-0.1556148592419649,0.0912149680682763
