pair,n_pairwise,mean_diff,cohens_dz,p,n_for_80pct_power
mmedbench vs pubmedqa,34,-0.08473389355742299,-0.2193087578176872,0.20969487381707796,164.0
multicare vs pubmedqa,38,-0.05526315789473685,-0.1766087462181766,0.23783766468300616,252.0
pubmedqa vs shuffled,38,0.06929824561403508,0.16310960981061756,0.36027448734621237,296.0
mmedbench vs shuffled,34,-0.02591036414565825,-0.06954108116189493,0.5496428583643895,1624.0
multicare vs shuffled,32,0.009374999999999994,0.024002067535955563,1.0,13625.0
mmedbench vs multicare,34,0.004481792717086832,0.011557682200427896,0.9582685655611679,58758.0
