system,variant,recall@1,recall@3,recall@5,recall@10,MRR@10,nDCG@10
LaBSE-passages,Q1_hinglish,0.1286898839137645,0.3074626865671642,0.4298507462686567,0.6328358208955224,0.2587071257469267,0.4270294776054316
BM25-full,Q1_hinglish,0.09485903814262023,0.24112769485903815,0.38076285240464347,0.6109452736318408,0.2180595698754903,0.3802876005621704
TFIDF-full,Q1_hinglish,0.0779436152570481,0.2132669983416252,0.3207296849087894,0.5446102819237147,0.18883992734739002,0.33651960334241277
Hybrid-RRF,Q1_hinglish,0.17777777777777778,0.3409618573797678,0.4606965174129353,0.6557213930348259,0.29998052067703807,0.45832963611054534
LaBSE-passages,Q2_english_question,0.14859038142620232,0.3250414593698176,0.4603648424543947,0.67893864013267,0.28371712864250176,0.45674086387314183
BM25-full,Q2_english_question,0.18275290215588724,0.4046434494195688,0.5505804311774462,0.7376451077943615,0.33751664955645055,0.5462398471846067
TFIDF-full,Q2_english_question,0.1562189054726368,0.32139303482587067,0.42918739635157543,0.6169154228855721,0.2752716575850904,0.4367737901402286
Hybrid-RRF,Q2_english_question,0.1946932006633499,0.4059701492537313,0.5346600331674959,0.7386401326699834,0.3422302508620916,0.5349271385388314
